epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
1,0.1317679013311863,0.05936859089594621,1.211478410512209,3.5252208709716797
2,0.04105482965707779,0.02950601652264595,0.410989945307374,2.096590042114258
3,0.020984632996842265,0.013885192859631319,0.8478365132212639,2.0821950435638428
4,0.01431642536073923,0.013875751827771846,1.5765188942849635,2.1489012241363525
5,0.011284016165882349,0.010014082878254928,1.3996862509846688,1.9928721189498901
6,0.009082847884856164,0.008685394727553312,1.29138707280159,1.6379989385604858
7,0.008540961123071612,0.007391137250054341,1.2684264415502549,1.8915873765945435
8,0.007697888566181064,0.006970254990916986,1.3250129932165147,1.6217671632766724
9,0.007316023353487253,0.006618400032703693,1.3314421647787094,1.7010456323623657
10,0.007289425772614777,0.006279388585915932,1.3195542539656162,1.831848382949829
11,0.006820601657964289,0.00792167758425841,1.2713158493489027,1.7188503742218018
12,0.007209882391616702,0.006762294994237332,1.354450237751007,1.8038262128829956
13,0.006826704693958163,0.006660114830503097,1.2681218764185906,1.8025563955307007
14,0.007083234223537147,0.007767804683401034,1.5290014463663102,1.763590931892395
15,0.005899902093224227,0.006227631265154252,1.0416368764266373,1.7521494626998901
16,0.005836897348053753,0.006631072897177476,1.2425878693163395,1.6070637702941895
17,0.006896207104437053,0.005685858500118439,1.4427799159288406,1.8488616943359375
18,0.006396120623685419,0.006780001513946515,1.384554294794798,1.8008582592010498
19,0.00640129785053432,0.005538092567943609,1.5115433605015278,1.7434049844741821
20,0.007261785017326474,0.008040499479438249,1.5645275561511516,1.8263156414031982
21,0.006215786265674979,0.004904628605940021,1.1787874576821924,1.8026862144470215
22,0.005133757696021348,0.00611001758191448,0.9389402977377176,1.7419334650039673
23,0.006014548256061971,0.006014258421670932,1.4540530601143837,1.7771217823028564
24,0.005858833100646734,0.004583805745754104,1.5108633595705032,1.7350318431854248
25,0.005363408224657178,0.005802690624617613,1.130097248852253,1.7397205829620361
26,0.005881359688937664,0.004927732068328903,1.393291110023856,1.7842707633972168
27,0.005298808512743562,0.0047847091471059965,1.3310049685835839,1.745343565940857
28,0.005229985292535275,0.004637038066553382,1.3052300067991018,1.7456433773040771
29,0.0054543134476989505,0.004997112143498201,1.5069564920663834,1.698939323425293
30,0.00536410168511793,0.005834835760581952,1.4679014629125595,1.726467251777649
31,0.005301381216850132,0.0052764547558931205,1.4893906611204146,1.7044848203659058
32,0.005227673242334276,0.004823451700548713,1.4642071628570557,1.7041618824005127
33,0.004827754863072187,0.0057718802171830945,1.227457564547658,1.6947816610336304
34,0.004460981499869376,0.0040088454798723645,1.17664925634861,1.6718155145645142
35,0.004185220159124583,0.00410430167371837,0.9475392557308078,1.6298036575317383
36,0.004234861542936414,0.003933383008608451,1.3419288569688796,1.5406582355499268
37,0.004285082006826996,0.005611473981004495,1.094552454724908,1.727691411972046
38,0.004293915517628193,0.004087936133146286,1.2418717505782844,1.7080023288726807
39,0.0040152234816923735,0.005277633738632386,1.023134717643261,1.7284202575683594
40,0.004868440160062164,0.004256435974429433,1.4912991094589234,1.724219560623169
41,0.00441676514223218,0.003742739611950058,1.1760648572444916,1.7706292867660522
42,0.0038562119007110596,0.0035085227662840714,1.1733766773343086,1.5638558864593506
43,0.004372396697290242,0.003902643220499158,1.2260551570355893,1.7338354587554932
44,0.003770004464313388,0.003860029553134854,1.2649847555160523,1.5776803493499756
45,0.003714746506884694,0.003981513311513341,1.3321699529886246,1.5524414777755737
46,0.004130642674863338,0.003666293932698094,1.2497785905748606,1.7967387437820435
47,0.0044077932625077665,0.0038493252001129664,1.4048027174174786,1.7261866331100464
48,0.00382490421179682,0.0036330759847679962,1.2997845435142517,1.701804280281067
49,0.0033948558336123823,0.0034138411820794526,1.1222444444149733,1.55007004737854
50,0.0034508640621788798,0.0033693911615186012,1.3408776479959488,1.5796587467193604
